Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения
1;филлер;восклицание;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler1.1;неправильная интерпретация;30С
3;филлер;восклицание;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler1.1;неправильная интерпретация;30С
5;филлер;восклицание;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler1.1;неправильная интерпретация;30С
2;филлер;восклицание;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler1.1;неправильная интерпретация;30С
2;филлер;восклицание;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler1.1;неправильная интерпретация;30С
2;филлер;восклицание;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler1.1;неправильная интерпретация;30С
1;филлер;восклицание;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler1.1;неправильная интерпретация;30С
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence1.1; - ;23A
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id2;Мужской;20;Неоконченное высшее;IT;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id3;Мужской;23;Среднее профессиональное;IT;sentence1.1; - ;23A
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id5;Женский;27;Высшее;Преподавание;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id6;Мужской;25;Высшее;Инженерное дело;sentence1.1; - ;23A
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id7;Женский;20;Неоконченное высшее;Экономика;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id8;Женский;20;Среднее общее;Учеба;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id9;Мужской;20;Неоконченное высшее;Учеба;sentence1.1; - ;23A
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id10;Мужской;20;Среднее профессиональное;МЧС;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id11;Женский;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id12;Мужской;26;Среднее общее;Прочее;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id13;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id14;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id15;Женский;21;Неоконченное высшее;Преподавание;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id16;Женский;21;Неоконченное высшее;Медицина;sentence1.1; - ;23A
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id17;Мужской;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id18;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id19;Мужской;23;Среднее профессиональное;Искусство;sentence1.1; - ;23A
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id20;Мужской;24;Высшее;Химическая промышленность;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id21;Женский;24;Высшее;Медицина;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence1.1; - ;23A
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id23;Мужской;30;Высшее;Маркетинг;sentence1.1; - ;23A
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id24;Женский;29;Высшее;IT;sentence1.1; - ;23A
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;non-coord;id25;Мужской;30;Высшее;IT;sentence1.1; - ;23A
3;филлер;восклицание;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler2.1;правильная интерпретация;23C
3;филлер;восклицание;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler2.1;правильная интерпретация;23C
5;филлер;восклицание;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler2.1;правильная интерпретация;23C
3;филлер;восклицание;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler2.1;правильная интерпретация;23C
5;филлер;восклицание;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler2.1;правильная интерпретация;23C
1;филлер;восклицание;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler2.1;правильная интерпретация;23C
1;филлер;восклицание;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler2.1;правильная интерпретация;23C
1;филлер;восклицание;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler2.1;правильная интерпретация;23C
5;филлер;восклицание;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler2.1;правильная интерпретация;23C
1;филлер;восклицание;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler2.1;правильная интерпретация;23C
4;филлер;восклицание;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler2.1;правильная интерпретация;23C
2;филлер;восклицание;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler2.1;правильная интерпретация;23C
3;филлер;восклицание;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler3.1;неправильная интерпретация;29C
4;филлер;восклицание;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler3.1;неправильная интерпретация;29C
5;филлер;восклицание;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler3.1;неправильная интерпретация;29C
5;филлер;восклицание;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler3.1;неправильная интерпретация;29C
4;филлер;восклицание;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler3.1;неправильная интерпретация;29C
4;филлер;восклицание;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler3.1;неправильная интерпретация;29C
1;филлер;восклицание;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler3.1;неправильная интерпретация;29C
2;филлер;восклицание;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler3.1;неправильная интерпретация;29C
3;филлер;восклицание;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler3.1;неправильная интерпретация;29C
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence2.1; - ;21A
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id2;Мужской;20;Неоконченное высшее;IT;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id3;Мужской;23;Среднее профессиональное;IT;sentence2.1; - ;21A
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id5;Женский;27;Высшее;Преподавание;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id6;Мужской;25;Высшее;Инженерное дело;sentence2.1; - ;21A
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id7;Женский;20;Неоконченное высшее;Экономика;sentence2.1; - ;21A
