Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id29;Мужской;20;Неоконченное высшее;Искусство;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id36;Женский;20;Основное общее;Учеба;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id42;Мужской;22;Высшее;Юриспруденция;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id48;Женский;23;Среднее профессиональное;Работа;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id50;Женский;20;Среднее профессиональное;Работа;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id32;Женский;20;Основное общее;Лингвистика;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id33;Мужской;25;Высшее;IT;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence11.2; - ;27A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id36;Женский;20;Основное общее;Учеба;sentence11.2; - ;27A;прямой
