Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id2;Мужской;20;Неоконченное высшее;IT;sentence6.1; - ;9A;прямой
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id5;Женский;27;Высшее;Преподавание;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id8;Женский;20;Среднее общее;Учеба;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id17;Мужской;20;Неоконченное высшее;Прочее;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence6.1; - ;9A;прямой
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;да;id24;Женский;29;Высшее;IT;sentence6.1; - ;9A;прямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id2;Мужской;20;Неоконченное высшее;IT;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id8;Женский;20;Среднее общее;Учеба;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id24;Женский;29;Высшее;IT;sentence10.1; - ;11A;непрямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id2;Мужской;20;Неоконченное высшее;IT;sentence11.1; - ;27A;прямой
4;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id8;Женский;20;Среднее общее;Учеба;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence11.1; - ;27A;прямой
4;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id12;Мужской;26;Среднее общее;Прочее;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence11.1; - ;27A;прямой
4;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence11.1; - ;27A;прямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id2;Мужской;20;Неоконченное высшее;IT;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence15.1; - ;25A;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id6;Мужской;25;Высшее;Инженерное дело;sentence15.1; - ;25A;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id8;Женский;20;Среднее общее;Учеба;sentence15.1; - ;25A;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id12;Мужской;26;Среднее общее;Прочее;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence15.1; - ;25A;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id21;Женский;24;Высшее;Медицина;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence15.1; - ;25A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id53;Мужской;20;Неоконченное высшее;IT;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id55;Мужской;23;Неоконченное высшее;IT;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id56;Мужской;20;Среднее общее;Учеба;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id60;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id61;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence20.1; - ;12B;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id67;Мужской;24;Высшее;Строительство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id68;Мужской;28;Высшее;Экология;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id69;Женский;26;Высшее;Экономика;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id71;Мужской;21;Среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id72;Женский;23;Неоконченное среднее профессиональное;Искусство;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id73;Женский;30;Высшее;IT;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;да;id74;Мужской;21;Среднее общее;Учеба;sentence20.1; - ;12B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id53;Мужской;20;Неоконченное высшее;IT;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id55;Мужской;23;Неоконченное высшее;IT;sentence21.1; - ;26B;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id56;Мужской;20;Среднее общее;Учеба;sentence21.1; - ;26B;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id64;Женский;30;Высшее;Экономика;sentence21.1; - ;26B;непрямой
4;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id67;Мужской;24;Высшее;Строительство;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id68;Мужской;28;Высшее;Экология;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id69;Женский;26;Высшее;Экономика;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id71;Мужской;21;Среднее профессиональное;Искусство;sentence21.1; - ;26B;непрямой
5;стимул;восклицание;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id73;Женский;30;Высшее;IT;sentence21.1; - ;26B;непрямой
