Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id36;Женский;20;Основное общее;Учеба;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id46;Женский;24;Высшее;IT;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence4.2; - ;15A;непрямой
4;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id32;Женский;20;Основное общее;Лингвистика;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id33;Мужской;25;Высшее;IT;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence4.2; - ;15A;непрямой
4;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id36;Женский;20;Основное общее;Учеба;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence4.2; - ;15A;непрямой
4;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id46;Женский;24;Высшее;IT;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence4.2; - ;15A;непрямой
5;стимул;восклицание;pair;Y аргумент - X аргумент;2 аргумента;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence4.2; - ;15A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence13.2; - ;29A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence13.2; - ;29A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id32;Женский;20;Основное общее;Лингвистика;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id33;Мужской;25;Высшее;IT;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id36;Женский;20;Основное общее;Учеба;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence13.2; - ;29A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence13.2; - ;29A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id46;Женский;24;Высшее;IT;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence13.2; - ;29A;непрямой
4;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence13.2; - ;29A;непрямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence3.2; - ;13A;прямой
