Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id8;Женский;20;Среднее общее;Учеба;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence3.1; - ;13A;прямой
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id23;Мужской;30;Высшее;Маркетинг;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id24;Женский;29;Высшее;IT;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence4.1; - ;15A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence4.1; - ;15A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;нет;id8;Женский;20;Среднее общее;Учеба;sentence4.1; - ;15A;непрямой
5;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence4.1; - ;15A;непрямой
4;стимул;восклицание;single;Y аргумент - X аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence4.1; - ;15A;непрямой
