answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
2;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id27;Женский;20;Неоконченное высшее;Преподавание;sentence6.2; - ;9A;direct
2;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id29;Мужской;20;Неоконченное высшее;Искусство;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id30;Женский;20;Неоконченное высшее;Экономика;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence6.2; - ;9A;direct
2;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id32;Женский;20;Основное общее;Лингвистика;sentence6.2; - ;9A;direct
2;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id33;Мужской;25;Высшее;IT;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id34;Женский;21;Неоконченное высшее;Журналистика;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id36;Женский;20;Основное общее;Учеба;sentence6.2; - ;9A;direct
1;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id37;Женский;20;Неоконченное высшее;Филология;sentence6.2; - ;9A;direct
3;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id38;Мужской;20;Неоконченное высшее;Учеба;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;direct
3;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id41;Мужской;20;Неоконченное высшее;Туризм;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id42;Мужской;22;Высшее;Юриспруденция;sentence6.2; - ;9A;direct
4;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;direct
2;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id44;Мужской;29;Высшее;Логистика;sentence6.2; - ;9A;direct
1;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id45;Мужской;25;Высшее;Инженерное дело;sentence6.2; - ;9A;direct
1;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id46;Женский;24;Высшее;IT;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id48;Женский;23;Среднее профессиональное;Работа;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence6.2; - ;9A;direct
5;стимул;excl;pair;X аргумент -Y аргумент;args;coord;id50;Женский;20;Среднее профессиональное;Работа;sentence6.2; - ;9A;direct
2;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id27;Женский;20;Неоконченное высшее;Преподавание;sentence9.2; - ;31A;direct
2;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence9.2; - ;31A;direct
2;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id29;Мужской;20;Неоконченное высшее;Искусство;sentence9.2; - ;31A;direct
4;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id30;Женский;20;Неоконченное высшее;Экономика;sentence9.2; - ;31A;direct
3;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id32;Женский;20;Основное общее;Лингвистика;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id33;Мужской;25;Высшее;IT;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id34;Женский;21;Неоконченное высшее;Журналистика;sentence9.2; - ;31A;direct
3;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence9.2; - ;31A;direct
4;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id36;Женский;20;Основное общее;Учеба;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id37;Женский;20;Неоконченное высшее;Филология;sentence9.2; - ;31A;direct
3;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id38;Мужской;20;Неоконченное высшее;Учеба;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id41;Мужской;20;Неоконченное высшее;Туризм;sentence9.2; - ;31A;direct
4;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id42;Мужской;22;Высшее;Юриспруденция;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence9.2; - ;31A;direct
1;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id44;Мужской;29;Высшее;Логистика;sentence9.2; - ;31A;direct
3;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id45;Мужской;25;Высшее;Инженерное дело;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id46;Женский;24;Высшее;IT;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence9.2; - ;31A;direct
4;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id48;Женский;23;Среднее профессиональное;Работа;sentence9.2; - ;31A;direct
5;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence9.2; - ;31A;direct
4;стимул;excl;pair;аргумент-адъюнкт;adjarg;non-coord;id50;Женский;20;Среднее профессиональное;Работа;sentence9.2; - ;31A;direct
2;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence4.2; - ;15A;indirect
2;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id27;Женский;20;Неоконченное высшее;Преподавание;sentence4.2; - ;15A;indirect
3;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id29;Мужской;20;Неоконченное высшее;Искусство;sentence4.2; - ;15A;indirect
4;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id30;Женский;20;Неоконченное высшее;Экономика;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id32;Женский;20;Основное общее;Лингвистика;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id33;Мужской;25;Высшее;IT;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id34;Женский;21;Неоконченное высшее;Журналистика;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence4.2; - ;15A;indirect
4;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id36;Женский;20;Основное общее;Учеба;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id37;Женский;20;Неоконченное высшее;Филология;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id38;Мужской;20;Неоконченное высшее;Учеба;sentence4.2; - ;15A;indirect
4;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence4.2; - ;15A;indirect
3;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id41;Мужской;20;Неоконченное высшее;Туризм;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id42;Мужской;22;Высшее;Юриспруденция;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence4.2; - ;15A;indirect
3;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id44;Мужской;29;Высшее;Логистика;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id45;Мужской;25;Высшее;Инженерное дело;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id46;Женский;24;Высшее;IT;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence4.2; - ;15A;indirect
3;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id48;Женский;23;Среднее профессиональное;Работа;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence4.2; - ;15A;indirect
5;стимул;excl;pair;Y аргумент - X аргумент;args;non-coord;id50;Женский;20;Среднее профессиональное;Работа;sentence4.2; - ;15A;indirect
2;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence13.2; - ;29A;indirect
4;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id27;Женский;20;Неоконченное высшее;Преподавание;sentence13.2; - ;29A;indirect
2;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence13.2; - ;29A;indirect
3;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id29;Мужской;20;Неоконченное высшее;Искусство;sentence13.2; - ;29A;indirect
5;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id30;Женский;20;Неоконченное высшее;Экономика;sentence13.2; - ;29A;indirect
4;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence13.2; - ;29A;indirect
4;стимул;excl;pair;адъюнкт-аргумент;adjarg;non-coord;id32;Женский;20;Основное общее;Лингвистика;sentence13.2; - ;29A;indirect
