Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
2;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence6.2; - ;9A;прямой
2;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id29;Мужской;20;Неоконченное высшее;Искусство;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence6.2; - ;9A;прямой
2;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id32;Женский;20;Основное общее;Лингвистика;sentence6.2; - ;9A;прямой
2;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id33;Мужской;25;Высшее;IT;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id36;Женский;20;Основное общее;Учеба;sentence6.2; - ;9A;прямой
1;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id37;Женский;20;Неоконченное высшее;Филология;sentence6.2; - ;9A;прямой
3;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id38;Мужской;20;Неоконченное высшее;Учеба;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;прямой
3;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id41;Мужской;20;Неоконченное высшее;Туризм;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id42;Мужской;22;Высшее;Юриспруденция;sentence6.2; - ;9A;прямой
4;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence6.2; - ;9A;прямой
2;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id44;Мужской;29;Высшее;Логистика;sentence6.2; - ;9A;прямой
1;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id45;Мужской;25;Высшее;Инженерное дело;sentence6.2; - ;9A;прямой
1;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id46;Женский;24;Высшее;IT;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id48;Женский;23;Среднее профессиональное;Работа;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence6.2; - ;9A;прямой
5;стимул;восклицание;pair;X аргумент -Y аргумент;2 аргумента;да;id50;Женский;20;Среднее профессиональное;Работа;sentence6.2; - ;9A;прямой
2;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence9.2; - ;31A;прямой
2;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence9.2; - ;31A;прямой
2;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence9.2; - ;31A;прямой
3;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id32;Женский;20;Основное общее;Лингвистика;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id33;Мужской;25;Высшее;IT;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence9.2; - ;31A;прямой
3;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id36;Женский;20;Основное общее;Учеба;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence9.2; - ;31A;прямой
3;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence9.2; - ;31A;прямой
1;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id44;Мужской;29;Высшее;Логистика;sentence9.2; - ;31A;прямой
3;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id46;Женский;24;Высшее;IT;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence9.2; - ;31A;прямой
5;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence9.2; - ;31A;прямой
4;стимул;восклицание;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence9.2; - ;31A;прямой
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence12.2; - ;5A;прямой
4;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence12.2; - ;5A;прямой
4;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence12.2; - ;5A;прямой
1;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id32;Женский;20;Основное общее;Лингвистика;sentence12.2; - ;5A;прямой
1;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id33;Мужской;25;Высшее;IT;sentence12.2; - ;5A;прямой
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id36;Женский;20;Основное общее;Учеба;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence12.2; - ;5A;прямой
2;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence12.2; - ;5A;прямой
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence12.2; - ;5A;прямой
