answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence12.2; - ;5A;direct
4;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence12.2; - ;5A;direct
4;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence12.2; - ;5A;direct
1;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id32;Женский;20;Основное общее;Лингвистика;sentence12.2; - ;5A;direct
1;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id33;Мужской;25;Высшее;IT;sentence12.2; - ;5A;direct
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id36;Женский;20;Основное общее;Учеба;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence12.2; - ;5A;direct
2;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence12.2; - ;5A;direct
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id44;Мужской;29;Высшее;Логистика;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id46;Женский;24;Высшее;IT;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence12.2; - ;5A;direct
3;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence12.2; - ;5A;direct
5;стимул;вопрос;pair;X аргумент -Y аргумент;2 аргумента;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence12.2; - ;5A;direct
3;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence14.2; - ;7A;indirect
2;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence14.2; - ;7A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence14.2; - ;7A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id32;Женский;20;Основное общее;Лингвистика;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id33;Мужской;25;Высшее;IT;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id36;Женский;20;Основное общее;Учеба;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence14.2; - ;7A;indirect
3;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence14.2; - ;7A;indirect
