answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
4;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id2;Мужской;20;Неоконченное высшее;IT;sentence3.1; - ;13A;direct
2;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id3;Мужской;23;Среднее профессиональное;IT;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence3.1; - ;13A;direct
1;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id5;Женский;27;Высшее;Преподавание;sentence3.1; - ;13A;direct
2;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id6;Мужской;25;Высшее;Инженерное дело;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id7;Женский;20;Неоконченное высшее;Экономика;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id8;Женский;20;Среднее общее;Учеба;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id9;Мужской;20;Неоконченное высшее;Учеба;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id10;Мужской;20;Среднее профессиональное;МЧС;sentence3.1; - ;13A;direct
1;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id11;Женский;20;Неоконченное высшее;Прочее;sentence3.1; - ;13A;direct
3;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id12;Мужской;26;Среднее общее;Прочее;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id13;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id14;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id15;Женский;21;Неоконченное высшее;Преподавание;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id16;Женский;21;Неоконченное высшее;Медицина;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id17;Мужской;20;Неоконченное высшее;Прочее;sentence3.1; - ;13A;direct
5;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id18;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;direct
2;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id19;Мужской;23;Среднее профессиональное;Искусство;sentence3.1; - ;13A;direct
1;стимул;excl;single;X аргумент -Y аргумент;args;non-coord;id20;Мужской;24;Высшее;Химическая промышленность;sentence3.1; - ;13A;direct
