answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence1.1; - ;23A;direct
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence1.1; - ;23A;direct
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id5;Женский;27;Высшее;Преподавание;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence1.1; - ;23A;direct
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id8;Женский;20;Среднее общее;Учеба;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence1.1; - ;23A;direct
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id12;Мужской;26;Среднее общее;Прочее;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;direct
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence1.1; - ;23A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence1.1; - ;23A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id21;Женский;24;Высшее;Медицина;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence1.1; - ;23A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id23;Мужской;30;Высшее;Маркетинг;sentence1.1; - ;23A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id24;Женский;29;Высшее;IT;sentence1.1; - ;23A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id25;Мужской;30;Высшее;IT;sentence1.1; - ;23A;direct
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence2.1; - ;21A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence2.1; - ;21A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id5;Женский;27;Высшее;Преподавание;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence2.1; - ;21A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id8;Женский;20;Среднее общее;Учеба;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id12;Мужской;26;Среднее общее;Прочее;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence2.1; - ;21A;indirect
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence2.1; - ;21A;indirect
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence2.1; - ;21A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id21;Женский;24;Высшее;Медицина;sentence2.1; - ;21A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence2.1; - ;21A;indirect
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id23;Мужской;30;Высшее;Маркетинг;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id24;Женский;29;Высшее;IT;sentence2.1; - ;21A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id25;Мужской;30;Высшее;IT;sentence2.1; - ;21A;indirect
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id2;Мужской;20;Неоконченное высшее;IT;sentence5.1; - ;19A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id3;Мужской;23;Среднее профессиональное;IT;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence5.1; - ;19A;direct
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id5;Женский;27;Высшее;Преподавание;sentence5.1; - ;19A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id6;Мужской;25;Высшее;Инженерное дело;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence5.1; - ;19A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id8;Женский;20;Среднее общее;Учеба;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence5.1; - ;19A;direct
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence5.1; - ;19A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id11;Женский;20;Неоконченное высшее;Прочее;sentence5.1; - ;19A;direct
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id12;Мужской;26;Среднее общее;Прочее;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence5.1; - ;19A;direct
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id17;Мужской;20;Неоконченное высшее;Прочее;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence5.1; - ;19A;direct
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence5.1; - ;19A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id21;Женский;24;Высшее;Медицина;sentence5.1; - ;19A;direct
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence5.1; - ;19A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id23;Мужской;30;Высшее;Маркетинг;sentence5.1; - ;19A;direct
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence5.1; - ;19A;direct
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id25;Мужской;30;Высшее;IT;sentence5.1; - ;19A;direct
3;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id2;Мужской;20;Неоконченное высшее;IT;sentence7.1; - ;1A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id3;Мужской;23;Среднее профессиональное;IT;sentence7.1; - ;1A;direct
