Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence8.2; - ;17A;непрямой
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence8.2; - ;17A;непрямой
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id32;Женский;20;Основное общее;Лингвистика;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id33;Мужской;25;Высшее;IT;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id36;Женский;20;Основное общее;Учеба;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id37;Женский;20;Неоконченное высшее;Филология;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence8.2; - ;17A;непрямой
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id41;Мужской;20;Неоконченное высшее;Туризм;sentence8.2; - ;17A;непрямой
