Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id2;Мужской;20;Неоконченное высшее;IT;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence5.1; - ;19A;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence5.1; - ;19A;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence5.1; - ;19A;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence5.1; - ;19A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id2;Мужской;20;Неоконченное высшее;IT;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id5;Женский;27;Высшее;Преподавание;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id24;Женский;29;Высшее;IT;sentence7.1; - ;1A;прямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence8.1; - ;17A;непрямой
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id5;Женский;27;Высшее;Преподавание;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence8.1; - ;17A;непрямой
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence8.1; - ;17A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence16.1; - ;3A;непрямой
4;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id5;Женский;27;Высшее;Преподавание;sentence16.1; - ;3A;непрямой
4;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence16.1; - ;3A;непрямой
4;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence16.1; - ;3A;непрямой
4;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id12;Мужской;26;Среднее общее;Прочее;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id17;Мужской;20;Неоконченное высшее;Прочее;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id24;Женский;29;Высшее;IT;sentence16.1; - ;3A;непрямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id53;Мужской;20;Неоконченное высшее;IT;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id55;Мужской;23;Неоконченное высшее;IT;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id57;Мужской;20;Неоконченное высшее;Сфера обслуживания;sentence19.1; - ;20B;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id60;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id64;Женский;30;Высшее;Экономика;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id65;Женский;24;Высшее;Маркетинг;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id66;Женский;22;Высшее;Менеджмент;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id68;Мужской;28;Высшее;Экология;sentence19.1; - ;20B;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id69;Женский;26;Высшее;Экономика;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id70;Женский;24;Среднее профессиональное;Сфера обслуживания;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id71;Мужской;21;Среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id72;Женский;23;Неоконченное среднее профессиональное;Искусство;sentence19.1; - ;20B;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;да;id73;Женский;30;Высшее;IT;sentence19.1; - ;20B;прямой
4;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id51;Женский;21;Неоконченное высшее;IT;sentence25.1; - ;2B;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id53;Мужской;20;Неоконченное высшее;IT;sentence25.1; - ;2B;прямой
4;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id54;Женский;20;Неоконченное высшее;Психология;sentence25.1; - ;2B;прямой
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id55;Мужской;23;Неоконченное высшее;IT;sentence25.1; - ;2B;прямой
