Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence1.1; - ;23A;прямой
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence1.1; - ;23A;прямой
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id5;Женский;27;Высшее;Преподавание;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence1.1; - ;23A;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id8;Женский;20;Среднее общее;Учеба;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence1.1; - ;23A;прямой
3;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id12;Мужской;26;Среднее общее;Прочее;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;прямой
4;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence1.1; - ;23A;прямой
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence1.1; - ;23A;прямой
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id21;Женский;24;Высшее;Медицина;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence1.1; - ;23A;прямой
1;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id23;Мужской;30;Высшее;Маркетинг;sentence1.1; - ;23A;прямой
5;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id24;Женский;29;Высшее;IT;sentence1.1; - ;23A;прямой
2;стимул;вопрос;single;аргумент-адъюнкт;аргумент+адъюнкт;нет;id25;Мужской;30;Высшее;IT;sentence1.1; - ;23A;прямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence2.1; - ;21A;непрямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence2.1; - ;21A;непрямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id5;Женский;27;Высшее;Преподавание;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence2.1; - ;21A;непрямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id8;Женский;20;Среднее общее;Учеба;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id12;Мужской;26;Среднее общее;Прочее;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence2.1; - ;21A;непрямой
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence2.1; - ;21A;непрямой
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence2.1; - ;21A;непрямой
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id21;Женский;24;Высшее;Медицина;sentence2.1; - ;21A;непрямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence2.1; - ;21A;непрямой
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id23;Мужской;30;Высшее;Маркетинг;sentence2.1; - ;21A;непрямой
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id24;Женский;29;Высшее;IT;sentence2.1; - ;21A;непрямой
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;нет;id25;Мужской;30;Высшее;IT;sentence2.1; - ;21A;непрямой
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence3.1; - ;13A;прямой
2;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence3.1; - ;13A;прямой
1;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id5;Женский;27;Высшее;Преподавание;sentence3.1; - ;13A;прямой
2;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id8;Женский;20;Среднее общее;Учеба;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence3.1; - ;13A;прямой
1;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence3.1; - ;13A;прямой
3;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id12;Мужской;26;Среднее общее;Прочее;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence3.1; - ;13A;прямой
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence3.1; - ;13A;прямой
